,charge,label
0,2.5213215,Standard
1,2.074056,Standard
2,1.2077909,Standard
3,0.66341144,Standard
4,0.61832684,Standard
5,1.9997559,Standard
6,1.3440756,Standard
7,3.9305012,Standard
8,0.94230145,Standard
9,0.89903426,Standard
10,0.31575522,Standard
11,2.0045574,Standard
12,1.2989908,Standard
13,2.5340168,Standard
14,14.92174,Standard
15,0.64979386,Standard
16,3.3547363,Standard
17,2.1940374,Standard
18,10.206244,Standard
19,1.7671983,Standard
20,0.8074273,Standard
21,1.5532227,Standard
22,3.5636935,Standard
23,2.3496907,Standard
24,0.41723633,Standard
25,2.4034016,Standard
26,0.42871094,Standard
27,1.330485,Standard
28,1.0046115,Standard
29,0.6241862,Standard
30,0.8881836,Standard
31,2.491428,Standard
32,1.1644965,Standard
33,1.1827528,Standard
34,3.2057292,Standard
35,1.3387315,Standard
36,1.2683105,Standard
37,1.3649088,Standard
38,1.3842773,Standard
39,3.3062067,Standard
40,1.0925565,Standard
41,0.9038086,Standard
42,0.7602539,Standard
43,1.4577365,Standard
44,1.6620551,Standard
45,0.8627387,Standard
46,1.5060763,Standard
47,4.241455,Standard
48,0.55718315,Standard
49,4.3371854,Standard
50,4.2669272,Standard
51,1.3784722,Standard
52,1.4804688,Standard
53,7.6050076,Standard
54,1.6624892,Standard
55,0.93693036,Standard
56,1.9582791,Standard
57,0.50062394,Standard
58,1.2418891,Standard
59,2.3065321,Standard
60,0.62109375,Standard
61,1.869873,Standard
62,6.498101,Standard
63,1.702067,Standard
64,3.1051161,Standard
65,1.2202963,Standard
66,5.221164,Standard
67,1.380995,Standard
68,1.1586372,Standard
69,1.4551324,Standard
70,1.4794108,Standard
71,1.8667535,Standard
72,1.5415039,Standard
73,1.2770182,Standard
74,1.2115885,Standard
75,1.234375,Standard
76,0.681722,Standard
77,1.8823242,Standard
78,1.1841363,Standard
79,1.2653537,Standard
80,1.2297091,Standard
81,1.3885362,Standard
82,1.618381,Standard
83,1.7564561,Standard
84,1.3503418,Standard
85,2.4326715,Standard
86,1.3647189,Standard
87,2.051839,Standard
88,1.1743436,Standard
89,1.0594618,Standard
90,1.0539551,Standard
91,2.1373155,Standard
92,3.0720215,Standard
93,1.3198785,Standard
94,1.0181206,Standard
95,2.794298,Standard
96,1.1140409,Standard
97,1.4420573,Standard
98,1.8517795,Standard
99,7.4911838,Standard
100,0.72317165,Standard
101,0.87475586,Standard
102,1.3348525,Standard
103,0.8819987,Standard
104,1.0585938,Standard
105,1.3113065,Standard
106,2.2471247,Standard
